candidate_id,canonical_name,english_name,aliases,type,subtype,primary_domain,subdomain,secondary_domains,disciplines,priority,knowledge_level,stability,dependencies,recommended_batch,educational_reason,bridge_concept,duplicate_risk,candidate_status,editorial_status,verification_status,blocking_decision,notes
candidate-computacion,Computación,Computing,,concept,,domain-fundamentos-computacion,teoría y modelos de computación,,,essential,contextual-understanding,stable-foundation,,batch-006-foundations-core,"Candidato para reconocer Computación, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-informacion,Información,Information,,concept,,domain-fundamentos-computacion,algoritmos y estructuras de datos,,,essential,contextual-understanding,stable-foundation,,batch-006-foundations-core,"Candidato para reconocer Información, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-representacion-de-datos,Representación de datos,Data Representation,,concept,,domain-fundamentos-computacion,fundamentos de programación,domain-sistemas-computo-ciberfisicos|domain-datos-analitica,,essential,contextual-understanding,stable-foundation,candidate-informacion,batch-007-foundations-bridges,"Candidato para reconocer Representación de datos, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",yes,low,mandatory,planned,pending,,
candidate-algoritmo,Algoritmo,Algorithm,,concept,,domain-fundamentos-computacion,información y representación,domain-desarrollo-software|domain-datos-analitica|domain-inteligencia-artificial,,essential,contextual-understanding,stable-foundation,candidate-computacion,batch-007-foundations-bridges,"Candidato para reconocer Algoritmo, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",yes,low,mandatory,planned,pending,,
candidate-estructura-de-datos,Estructura de datos,Data Structure,,concept,,domain-fundamentos-computacion,teoría y modelos de computación,,,essential,contextual-understanding,stable-foundation,candidate-algoritmo,batch-006-foundations-core,"Candidato para reconocer Estructura de datos, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-complejidad-computacional,Complejidad computacional,Computational Complexity,,concept,,domain-fundamentos-computacion,algoritmos y estructuras de datos,,,essential,contextual-understanding,stable-foundation,candidate-algoritmo,batch-006-foundations-core,"Candidato para reconocer Complejidad computacional, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-abstraccion,Abstracción,Abstraction,,concept,,domain-fundamentos-computacion,fundamentos de programación,domain-desarrollo-software|domain-ingenieria-software|domain-integracion-sistemas-empresariales,,essential,contextual-understanding,stable-foundation,,batch-007-foundations-bridges,"Candidato para reconocer Abstracción, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",yes,low,mandatory,planned,pending,,
candidate-estado,Estado,State,,concept,,domain-fundamentos-computacion,información y representación,,,essential,contextual-understanding,stable-foundation,,batch-006-foundations-core,"Candidato para reconocer Estado, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-funcion,Función,Function,,concept,,domain-fundamentos-computacion,teoría y modelos de computación,,,essential,contextual-understanding,stable-foundation,,batch-006-foundations-core,"Candidato para reconocer Función, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,medium: polisemia entre matemática y programación,mandatory,planned,pending,,
candidate-programacion,Programación,Programming,,concept,,domain-fundamentos-computacion,algoritmos y estructuras de datos,,,essential,contextual-understanding,stable-foundation,candidate-algoritmo,batch-006-foundations-core,"Candidato para reconocer Programación, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,mandatory,planned,pending,,
candidate-logica-booleana,Lógica booleana,Boolean Logic,,model,,domain-fundamentos-computacion,fundamentos de programación,,,important,contextual-understanding,stable-foundation,,batch-006-foundations-core,"Candidato para reconocer Lógica booleana, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,recommended,planned,pending,,
candidate-maquina-de-turing,Máquina de Turing,Turing Machine,,model,,domain-fundamentos-computacion,información y representación,,,important,contextual-understanding,stable-foundation,,batch-006-foundations-core,"Candidato para reconocer Máquina de Turing, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,recommended,planned,pending,,
candidate-paradigma-de-programacion,Paradigma de programación,Programming Paradigm,,paradigm,,domain-fundamentos-computacion,teoría y modelos de computación,,,important,contextual-understanding,stable-foundation,,batch-006-foundations-core,"Candidato para reconocer Paradigma de programación, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,recommended,planned,pending,,
candidate-pensamiento-computacional,Pensamiento computacional,Computational Thinking,,competency,,domain-fundamentos-computacion,algoritmos y estructuras de datos,,,important,recognition,slow-evolution,,batch-016-people-capabilities-core,"Candidato para reconocer Pensamiento computacional, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,recommended,planned,pending,,
candidate-descomposicion-de-problemas,Descomposición de problemas,Problem Decomposition,,technique,,domain-fundamentos-computacion,fundamentos de programación,,,specialized,recognition,slow-evolution,,batch-017-ways-of-working-core,"Candidato para reconocer Descomposición de problemas, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",no,low,optional,planned,pending,,
candidate-sistema-de-computo,Sistema de cómputo,Computer System,,concept,,domain-sistemas-computo-ciberfisicos,hardware y arquitectura de computadores,domain-fundamentos-computacion|domain-infraestructura-operacion,,essential,contextual-understanding,stable-foundation,candidate-computacion,batch-008-systems-networking-core,"Candidato para reconocer Sistema de cómputo, distinguir su naturaleza y ubicar su contexto profesional sin convertir la ficha en tutorial.",yes,low,mandatory,planned,pending,,
